ID,User_Query,Chatbot_Response,Category
194,What is your return policy?,Refunds are processed within 5-7 business days.,Policy Info
195,How long is the warranty period?,Refunds are processed within 5-7 business days.,Policy Info
196,I want to cancel my recent order.,Sure! Could you please provide your order number?,Order Support
197,I want to delete my account.,Please visit the account settings to manage your preferences.,Account Help
198,"Hi, I need help with my order.",Your order has been confirmed and is being processed.,Order Support
199,Can you check the status of my order?,Sure! Could you please provide your order number?,Order Support
200,What is your return policy?,Refunds are processed within 5-7 business days.,Policy Info
201,How can I get a refund?,Our warranty policy covers products for up to one year.,Policy Info
202,What is your return policy?,Our warranty policy covers products for up to one year.,Policy Info
203,Can you assist me?,I’m here to help with any questions you have.,General
204,How long is the warranty period?,Refunds are processed within 5-7 business days.,Policy Info
205,The delivery is late.,Your package is out for delivery and should arrive today.,Delivery Issue
206,Thank you for your help!,You’re welcome! Is there anything else I can assist you with?,General
207,The delivery is late.,Your package is out for delivery and should arrive today.,Delivery Issue
208,How can I change my email address?,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
209,Where is my order?,Your package is out for delivery and should arrive today.,Delivery Issue
210,Where is my order?,Your package is out for delivery and should arrive today.,Delivery Issue
211,Good morning!,Have a great day!,General
212,Thank you for your help!,Have a great day!,General
213,The delivery is late.,We’re investigating the delay and will update you shortly.,Delivery Issue
214,I forgot my password.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
215,I want to cancel my recent order.,Sure! Could you please provide your order number?,Order Support
216,I forgot my password.,Please visit the account settings to manage your preferences.,Account Help
217,How can I change my email address?,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
218,"Hi, I need help with my order.",I have updated your order details as requested.,Order Support
219,Where is my order?,Your package is out for delivery and should arrive today.,Delivery Issue
220,Where is my order?,We’re investigating the delay and will update you shortly.,Delivery Issue
221,My package hasn’t arrived yet.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
222,I forgot my password.,Please visit the account settings to manage your preferences.,Account Help
223,I want to delete my account.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
224,How long is the warranty period?,Our warranty policy covers products for up to one year.,Policy Info
225,"Hi, I need help with my order.",I have updated your order details as requested.,Order Support
226,Can you assist me?,You’re welcome! Is there anything else I can assist you with?,General
227,My package hasn’t arrived yet.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
228,"Hi, I need help with my order.",Sure! Could you please provide your order number?,Order Support
229,I want to cancel my recent order.,Your order has been confirmed and is being processed.,Order Support
230,The delivery is late.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
231,How can I change my email address?,Your account details have been successfully updated.,Account Help
232,Where is my order?,Your package is out for delivery and should arrive today.,Delivery Issue
233,I forgot my password.,Please visit the account settings to manage your preferences.,Account Help
234,I want to delete my account.,Please visit the account settings to manage your preferences.,Account Help
235,I forgot my password.,Your account details have been successfully updated.,Account Help
236,I forgot my password.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
237,Good morning!,I’m here to help with any questions you have.,General
238,I want to cancel my recent order.,Sure! Could you please provide your order number?,Order Support
239,The delivery is late.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
240,Can you assist me?,You’re welcome! Is there anything else I can assist you with?,General
241,How long is the warranty period?,Our warranty policy covers products for up to one year.,Policy Info
242,I forgot my password.,Your account details have been successfully updated.,Account Help
243,I want to delete my account.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
244,The delivery is late.,Your package is out for delivery and should arrive today.,Delivery Issue
245,I want to cancel my recent order.,Your order has been confirmed and is being processed.,Order Support
246,Can you check the status of my order?,Your order has been confirmed and is being processed.,Order Support
247,How can I change my email address?,Your account details have been successfully updated.,Account Help
248,My package hasn’t arrived yet.,Your package is out for delivery and should arrive today.,Delivery Issue
249,Can you assist me?,Have a great day!,General
250,What is your return policy?,Refunds are processed within 5-7 business days.,Policy Info
251,What is your return policy?,Refunds are processed within 5-7 business days.,Policy Info
252,How can I change my email address?,Please visit the account settings to manage your preferences.,Account Help
253,My package hasn’t arrived yet.,We’re investigating the delay and will update you shortly.,Delivery Issue
254,Thank you for your help!,Have a great day!,General
255,How can I get a refund?,Our warranty policy covers products for up to one year.,Policy Info
256,I forgot my password.,Your account details have been successfully updated.,Account Help
257,Thank you for your help!,You’re welcome! Is there anything else I can assist you with?,General
258,My package hasn’t arrived yet.,Your package is out for delivery and should arrive today.,Delivery Issue
259,How can I change my email address?,Please visit the account settings to manage your preferences.,Account Help
260,What is your return policy?,Our warranty policy covers products for up to one year.,Policy Info
261,I forgot my password.,Please visit the account settings to manage your preferences.,Account Help
262,The delivery is late.,We’re investigating the delay and will update you shortly.,Delivery Issue
263,Good morning!,I’m here to help with any questions you have.,General
264,What is your return policy?,Refunds are processed within 5-7 business days.,Policy Info
265,How long is the warranty period?,You can return products within 30 days of purchase.,Policy Info
266,Can you assist me?,I’m here to help with any questions you have.,General
267,How long is the warranty period?,Refunds are processed within 5-7 business days.,Policy Info
268,I forgot my password.,Please visit the account settings to manage your preferences.,Account Help
269,Where is my order?,Your package is out for delivery and should arrive today.,Delivery Issue
270,I want to delete my account.,Please visit the account settings to manage your preferences.,Account Help
271,How long is the warranty period?,Our warranty policy covers products for up to one year.,Policy Info
272,Good morning!,I’m here to help with any questions you have.,General
273,What is your return policy?,Refunds are processed within 5-7 business days.,Policy Info
274,The delivery is late.,Your package is out for delivery and should arrive today.,Delivery Issue
275,How long is the warranty period?,You can return products within 30 days of purchase.,Policy Info
276,How can I change my email address?,Please visit the account settings to manage your preferences.,Account Help
277,How long is the warranty period?,Refunds are processed within 5-7 business days.,Policy Info
278,The delivery is late.,We’re investigating the delay and will update you shortly.,Delivery Issue
279,What is your return policy?,Refunds are processed within 5-7 business days.,Policy Info
280,Where is my order?,We’re investigating the delay and will update you shortly.,Delivery Issue
281,Good morning!,You’re welcome! Is there anything else I can assist you with?,General
282,I forgot my password.,Please visit the account settings to manage your preferences.,Account Help
283,I want to delete my account.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
284,Thank you for your help!,You’re welcome! Is there anything else I can assist you with?,General
285,How can I change my email address?,Your account details have been successfully updated.,Account Help
286,"Hi, I need help with my order.",Sure! Could you please provide your order number?,Order Support
287,I forgot my password.,Your account details have been successfully updated.,Account Help
288,Good morning!,Have a great day!,General
289,I want to cancel my recent order.,Your order has been confirmed and is being processed.,Order Support
290,I want to delete my account.,Your account details have been successfully updated.,Account Help
291,How can I get a refund?,Our warranty policy covers products for up to one year.,Policy Info
292,The delivery is late.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
293,How can I get a refund?,You can return products within 30 days of purchase.,Policy Info
294,I forgot my password.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
295,I want to cancel my recent order.,I have updated your order details as requested.,Order Support
296,I want to cancel my recent order.,Sure! Could you please provide your order number?,Order Support
297,How can I get a refund?,You can return products within 30 days of purchase.,Policy Info
298,How can I change my email address?,Your account details have been successfully updated.,Account Help
299,Good morning!,You’re welcome! Is there anything else I can assist you with?,General
300,I want to delete my account.,Your account details have been successfully updated.,Account Help
301,Can you check the status of my order?,I have updated your order details as requested.,Order Support
302,Where is my order?,Your package is out for delivery and should arrive today.,Delivery Issue
303,Can you check the status of my order?,Sure! Could you please provide your order number?,Order Support
304,How can I change my email address?,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
305,I want to delete my account.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
306,How can I get a refund?,Our warranty policy covers products for up to one year.,Policy Info
307,I want to delete my account.,Your account details have been successfully updated.,Account Help
308,How long is the warranty period?,Our warranty policy covers products for up to one year.,Policy Info
309,I forgot my password.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
310,What is your return policy?,Refunds are processed within 5-7 business days.,Policy Info
311,The delivery is late.,Your package is out for delivery and should arrive today.,Delivery Issue
312,I forgot my password.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
313,My package hasn’t arrived yet.,We’re investigating the delay and will update you shortly.,Delivery Issue
314,I forgot my password.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
315,I forgot my password.,Please visit the account settings to manage your preferences.,Account Help
316,Thank you for your help!,Have a great day!,General
317,Good morning!,Have a great day!,General
318,"Hi, I need help with my order.",Sure! Could you please provide your order number?,Order Support
319,How long is the warranty period?,Our warranty policy covers products for up to one year.,Policy Info
320,Can you check the status of my order?,Sure! Could you please provide your order number?,Order Support
321,I want to delete my account.,Your account details have been successfully updated.,Account Help
322,Thank you for your help!,I’m here to help with any questions you have.,General
323,The delivery is late.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
324,How can I get a refund?,Our warranty policy covers products for up to one year.,Policy Info
325,What is your return policy?,You can return products within 30 days of purchase.,Policy Info
326,"Hi, I need help with my order.",Your order has been confirmed and is being processed.,Order Support
327,Can you assist me?,You’re welcome! Is there anything else I can assist you with?,General
328,Can you check the status of my order?,Sure! Could you please provide your order number?,Order Support
329,I want to delete my account.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
330,Can you check the status of my order?,I have updated your order details as requested.,Order Support
331,How long is the warranty period?,Refunds are processed within 5-7 business days.,Policy Info
332,How can I change my email address?,Please visit the account settings to manage your preferences.,Account Help
333,Where is my order?,Your package is out for delivery and should arrive today.,Delivery Issue
334,How long is the warranty period?,Refunds are processed within 5-7 business days.,Policy Info
335,Thank you for your help!,Have a great day!,General
336,The delivery is late.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
337,My package hasn’t arrived yet.,We’re investigating the delay and will update you shortly.,Delivery Issue
338,Where is my order?,Your package is out for delivery and should arrive today.,Delivery Issue
339,"Hi, I need help with my order.",Your order has been confirmed and is being processed.,Order Support
340,I want to cancel my recent order.,I have updated your order details as requested.,Order Support
341,My package hasn’t arrived yet.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
342,I forgot my password.,Your account details have been successfully updated.,Account Help
343,I forgot my password.,Please visit the account settings to manage your preferences.,Account Help
344,The delivery is late.,Your package is out for delivery and should arrive today.,Delivery Issue
345,Thank you for your help!,I’m here to help with any questions you have.,General
346,I want to cancel my recent order.,Your order has been confirmed and is being processed.,Order Support
347,Good morning!,Have a great day!,General
348,How long is the warranty period?,Refunds are processed within 5-7 business days.,Policy Info
349,How can I get a refund?,Our warranty policy covers products for up to one year.,Policy Info
350,I forgot my password.,Please visit the account settings to manage your preferences.,Account Help
351,I forgot my password.,Your account details have been successfully updated.,Account Help
352,Can you check the status of my order?,Sure! Could you please provide your order number?,Order Support
353,Can you check the status of my order?,Sure! Could you please provide your order number?,Order Support
354,Thank you for your help!,I’m here to help with any questions you have.,General
355,"Hi, I need help with my order.",Sure! Could you please provide your order number?,Order Support
356,How long is the warranty period?,Refunds are processed within 5-7 business days.,Policy Info
357,I want to cancel my recent order.,I have updated your order details as requested.,Order Support
358,How long is the warranty period?,Our warranty policy covers products for up to one year.,Policy Info
359,How long is the warranty period?,Our warranty policy covers products for up to one year.,Policy Info
360,Can you check the status of my order?,Your order has been confirmed and is being processed.,Order Support
361,What is your return policy?,You can return products within 30 days of purchase.,Policy Info
362,Can you assist me?,You’re welcome! Is there anything else I can assist you with?,General
363,Thank you for your help!,I’m here to help with any questions you have.,General
364,Where is my order?,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
365,Thank you for your help!,Have a great day!,General
366,I want to cancel my recent order.,Your order has been confirmed and is being processed.,Order Support
367,How can I change my email address?,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
368,I want to cancel my recent order.,Your order has been confirmed and is being processed.,Order Support
369,I want to delete my account.,Your account details have been successfully updated.,Account Help
370,My package hasn’t arrived yet.,We’re investigating the delay and will update you shortly.,Delivery Issue
371,Can you check the status of my order?,I have updated your order details as requested.,Order Support
372,Thank you for your help!,You’re welcome! Is there anything else I can assist you with?,General
373,My package hasn’t arrived yet.,We’re investigating the delay and will update you shortly.,Delivery Issue
374,How long is the warranty period?,Refunds are processed within 5-7 business days.,Policy Info
375,I want to cancel my recent order.,Your order has been confirmed and is being processed.,Order Support
376,Where is my order?,Your package is out for delivery and should arrive today.,Delivery Issue
377,How can I change my email address?,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
378,Can you check the status of my order?,I have updated your order details as requested.,Order Support
379,Can you check the status of my order?,Your order has been confirmed and is being processed.,Order Support
380,Can you assist me?,I’m here to help with any questions you have.,General
381,Can you check the status of my order?,Your order has been confirmed and is being processed.,Order Support
382,Where is my order?,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
383,"Hi, I need help with my order.",Sure! Could you please provide your order number?,Order Support
384,How can I get a refund?,You can return products within 30 days of purchase.,Policy Info
385,My package hasn’t arrived yet.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
386,I want to delete my account.,Your account details have been successfully updated.,Account Help
387,Can you check the status of my order?,Sure! Could you please provide your order number?,Order Support
388,"Hi, I need help with my order.",Your order has been confirmed and is being processed.,Order Support
389,I forgot my password.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
390,I want to delete my account.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
391,Good morning!,You’re welcome! Is there anything else I can assist you with?,General
392,Good morning!,Have a great day!,General
393,Can you assist me?,I’m here to help with any questions you have.,General
394,How long is the warranty period?,You can return products within 30 days of purchase.,Policy Info
395,How can I get a refund?,You can return products within 30 days of purchase.,Policy Info
396,Where is my order?,Your package is out for delivery and should arrive today.,Delivery Issue
397,How long is the warranty period?,Refunds are processed within 5-7 business days.,Policy Info
398,Where is my order?,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
399,I forgot my password.,Your account details have been successfully updated.,Account Help
400,I want to delete my account.,Please visit the account settings to manage your preferences.,Account Help
401,Thank you for your help!,You’re welcome! Is there anything else I can assist you with?,General
402,I want to delete my account.,Please visit the account settings to manage your preferences.,Account Help
403,What is your return policy?,Our warranty policy covers products for up to one year.,Policy Info
404,Can you assist me?,I’m here to help with any questions you have.,General
405,I want to delete my account.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
406,How can I get a refund?,Our warranty policy covers products for up to one year.,Policy Info
407,Good morning!,Have a great day!,General
408,Can you check the status of my order?,Sure! Could you please provide your order number?,Order Support
409,Good morning!,Have a great day!,General
410,Thank you for your help!,Have a great day!,General
411,The delivery is late.,Your package is out for delivery and should arrive today.,Delivery Issue
412,How can I get a refund?,Our warranty policy covers products for up to one year.,Policy Info
413,What is your return policy?,You can return products within 30 days of purchase.,Policy Info
414,I want to cancel my recent order.,Sure! Could you please provide your order number?,Order Support
415,"Hi, I need help with my order.",Your order has been confirmed and is being processed.,Order Support
416,How long is the warranty period?,Refunds are processed within 5-7 business days.,Policy Info
417,Where is my order?,We’re investigating the delay and will update you shortly.,Delivery Issue
418,Where is my order?,Your package is out for delivery and should arrive today.,Delivery Issue
419,How long is the warranty period?,You can return products within 30 days of purchase.,Policy Info
420,I want to cancel my recent order.,Sure! Could you please provide your order number?,Order Support
421,Where is my order?,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
